nbr,Key,Title,"Publication year",Author/s,Venue,Source,"Search Type",Reviewer/s,"Template style","Comment for Template style","Design-time input type","Comment for Design-time input type",Tool,"Comment for tool","Run-time input type","Comment for Run-time input type","Output type","Comment for output_type",MDE,Context,Validation,"Application scale","Application domain",Orientation,"Publication type","Venue type","Publication name",Year,Notes
301,paper_301,"A compiler for multimodal scenarios: Transforming LSCs into aspectJ",2011,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rhapsody,,"General purpose","UML diagrams","Source code",AspectJ,Yes,Standalone,"No validation","Large scale",Aspect-oriented,Academic,Journal,SE,TOSEM,2011,
302,paper_302,"Gaia Agents Implementation through Models Transformation",2009,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rhapsody,,"General purpose","State diagram","Source code",Java,Yes,Last,"No validation","Large scale","Software engineering",Industry,Conference,Other,PRIMA,2009,
303,paper_303,"Verifying Semantic Conformance of State Machine-to-Java Code Generators",2010,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rhapsody,,"General purpose","State diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,MODELS,2010,
304,paper_304,"A Methodology for Bridging the Gap between UML and Codesign",2005,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Rhapsody,,"General purpose","Activity diagram","Source code",SystemC,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Other,Other,,2005,
305,paper_305,"Rapid controller prototyping with Matlab/Simulink and Linux",2006,,,,,Admin,Rule-based,"Not shown","Domain specific",Simulink,"Simulink TLC",,"Domain specific","Simulink model","Source code",C,Yes,Intermediate,"No validation","Large scale","Embedded systems",Academic,Journal,Other,CEP,2006,
306,paper_306,"Simulating embedded targets for efficient code implementation",2009,,,,,Admin,Rule-based,"Not shown","Domain specific","Not specified","Simulink TLC",,"Domain specific","Simulink model","Source code",C,Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,Other,ISET,2009,
307,paper_307,"Rapid Control Prototyping toolbox for Renesas M32C87 microcontroller. ",2010,,,,,Admin,Rule-based,"Not shown","Domain specific",Simulink,"Simulink TLC",,"Domain specific","Simulink model","Source code",C,Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,Other,AQTR,2010,
308,paper_308,"Towards a Rapid Control Prototyping toolbox for the Stellaris LM3S8000 microcontrollers. ",2011,,,,,Admin,Rule-based,"Not shown","Domain specific",Simulink,"Simulink TLC",,"Domain specific","Simulink model","Source code",C,Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,Other,IFAC,2011,
309,paper_309,"Automated Code Generation for Development of Electric Vehicle Controller",2013,,,,,Admin,Rule-based,"Not shown","Domain specific",Simulink,"Simulink TLC",,"Domain specific","Simulink model","Source code",C,Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,Other,FISITA,2013,
310,paper_310,"Enabling modular design platforms using variants in model-based design",2011,,,,,Admin,Rule-based,"Not shown","Domain specific",Simulink,"Simulink TLC",,"Domain specific","Simulink model","Source code","C, C++",Yes,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,SE,MST,2011,
311,paper_311,"CAD tools for hardware implementation of embedded fuzzy systems on FPGAs.",2013,,,,,Admin,Rule-based,"Not shown","Domain specific",Simulink,"Simulink TLC",,"Domain specific","Simulink model","Source code","VHDL code",Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Journal,Other,TII,2013,
312,paper_312,"Implementation, Integration, and Testing",2016,,,,,Admin,Output-based,"Not shown","Domain specific",,"Simulink TLC",,"Domain specific",,"Source code",,Yes,Standalone,"No validation","Small scale","Simulation ",Academic,Conference,MDE,SFMA,2016,
313,paper_313,"A Visual Modeling Language for RDIS and ROS Nodes Using AToM3",2012,,,,,Admin,Output-based,"Not shown","Domain specific",,StringTemplate,,"Domain specific","RDIS model, ROS model","Structured data",Any,No,Last,"No validation","Small scale",Robotics,Academic,Conference,Other,SIMPAR,2012,
314,paper_314,"A Framework for Bidirectional Model-to-Platform Transformations",2013,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",StringTemplate,,"Domain specific","Not specified","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,SLE,2013,
315,paper_315,"Building Code Generators with Genesys: A Tutorial Introduction.",2011,,,,,Admin,Output-based,"Visible template","Domain specific",,StringTemplate,,"Domain specific","jABC model","Structured data",HTML,No,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,SE,GTTSE,2011,
316,paper_316,"PIL: A Platform Independent Language for Retargetable DSLs",2010,,,,,Admin,Output-based,"Not shown","Domain specific",WebDSL,StringTemplate,,"Domain specific","WebDSL model","Source code",Java,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,MDE,SLE,2010,
317,paper_317,"Domain-Specific Code Generator Modeling: A Case Study for Multi-faceted Concurrent Systems",2014,,,,,Admin,Output-based,"Not shown","Domain specific",CINCO,StringTemplate,,"Domain specific","Cinco models","Source code",Java,Yes,Intermediate,"No validation","Large scale","Prog. Lang",Academic,Conference,Other,ISOLA,2014,
318,paper_318,"Web application intel-nationalization and localization in action",2006,,,,,Admin,Output-based,"Visible template",Schema,,StringTemplate,,"Structured data",,"Source code","Java, C#, Python",No,Standalone,"No validation","Large scale","Web technology",Academic,Other,Other,ICWE,2006,
319,paper_319,"Object-oriented description of graph data structures.",2007,,,,,Admin,Output-based,"Visible template",Schema,XML-Schema,StringTemplate,,"Structured data",XML,"Source code","Java, C, C#",No,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,Other,PCS,2007,
320,paper_320,"A unified hardware/software co-synthesis solution for signal processing systems",2011,,,,,Admin,Output-based,"Not shown","Programming Language",,StringTemplate,,"Source code",,"Structured data",XML,No,Intermediate,"No validation","Large scale","Embedded systems",Academic,Conference,Other,DASIP,2011,
321,paper_321,"A high-level modeling language for the efficient design, implementation, and testing of Android applications",2016,,,,,Admin,Output-based,,Schema,,StringTemplate,,"Structured data",XML,"Source code",,No,Standalone,"No validation","Small scale","Mobile systems",Academic,Journal,SE,STTT,2016,
322,paper_322,"Template-Based Ontology Population for Smart Environments Configuration.",2014,,,,,Admin,Predefined,"Not shown","Domain specific",OWL,Unspecified," ","Domain specific",OWL,"Structured data","OWL code ",No,Last,"No validation","Large scale","Software engineering",Academic,Conference,SE,ICSOC,2014,
323,paper_323,"A Model-Based Framework for Developing Real-Time Safety Ada Systems",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","UML diagrams","Source code",Ada,Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,Other,ICRST,2013,
324,paper_324,"Composable Code Generation for Model-Based Development",2003,,,,,Admin,Predefined,"Visible template","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Other,Other,SCOPES,2003,
325,paper_325,"A model-driven runtime environment for Web applications",2005,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Structured data",Any,Yes,Standalone,"No validation","Large scale","Web technology",Academic,Journal,MDE,SOSYM,2005,
326,paper_326,"A Comparison of Program Generation with Aspect-Oriented Programming",2005,,,,,Admin,Output-based,"Not shown","Domain specific",,Unspecified,,"Domain specific",,"Source code",Any,Yes,Standalone,"No validation","Large scale",Aspect-oriented,Academic,Other,Other,UPP,2005,
327,paper_327,"Model Driven Development of Multi-Agent Systems.",2006,,,,,Admin,Predefined,"Visible template","General purpose",Marte,Unspecified,,"General purpose",,"Source code",Any,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,MDE,ECMFA,2006,
328,paper_328,"Model-driven engineering for development-time QoS validation of Component-based software systems",2007,,,,,Admin,Output-based,"Not shown","Domain specific",,Unspecified,,"Domain specific",,"Source code",Any,Yes,Standalone,"No validation","No application","Software engineering",Academic,Conference,Other,ECBS,2007,
329,paper_329,"A Framework for Model Transformation By-Example: Concepts and Tool Support",2008,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","UML diagrams","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,TE,2008,
330,paper_330,"Automatic code generation for synchronous reactive communication",2009,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",Unspecified,,"Domain specific","Simulink model","Source code",Any,Yes,Standalone,"No validation","Large scale",Networking,Industry,Conference,Other,ICESS,2009,
331,paper_331,"Attempting to Increase Longevity of Applications Based on New SaaS/Cloud Technology",2010,,,,,Admin,Predefined,"Visible template","Programming Language",,Unspecified,,"Source code",Java,"Source code",Any,No,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,Other,FSTJ,2010,
332,paper_332,"An Approach of Code Generation Based on Model Integrated Computing",2010,,,,,Admin,Output-based,"Visible template",Schema,"XML Schema",Unspecified,,"Structured data",XML,"Source code",Any,Yes,Last,"No validation","Small scale","Software engineering",Academic,Conference,Other,ICCASM,2010,
333,paper_333,"An Approach to Generating Program Code in Quickly Evolving Environments",2010,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Code reverse engineered to a model","Source code",Any,Yes,Standalone,"No validation","No application","Software engineering",Academic,Journal,Other,ISD,2010,
334,paper_334,"Generating Smart Wrapper Libraries for Arbitrary APIs",2010,,,,,Admin,Predefined,"Visible template","Domain specific",,Unspecified,,"Domain specific",,"Source code",Any,Yes,Last,"No validation","Large scale","Software engineering",Industry,Conference,MDE,SLE,2010,
335,paper_335,"A model-driven development approach to integration of web services and interactive applications: A case study in a digital TV platform",2011,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Interaction diagram","Source code",Any,Yes,Standalone,"No validation","Small scale","Software engineering",Industry,Conference,Other,SBBD,2011,
336,paper_336,"Applying patterns to model-driven development of automation systems: An industrial case study",2012,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",Unspecified,,"Domain specific","Not specified","Source code",Any,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,EUROPLOP,2012,
337,paper_337,"Automated API migration in a user-extensible refactoring tool for Erlang programs",2012,,,,,Admin,Output-based,"Visible template","Programming Language",,Unspecified,,"Source code",,"Source code",Any,No,Standalone,"No validation","Small scale",Refactoring,Academic,Conference,SE,ASE,2012,
338,paper_338,"Evolution Feature Oriented Model Driven Product Line Engineering Approach for Synergistic and Dynamic Service Evolution in Clouds:Four Kinds of Schema",2013,,,,,Admin,Output-based,"Not shown","General purpose",UML,Unspecified,,"General purpose","UML diagrams","Source code",Any,Yes,Last,"No validation","Large scale","Software engineering",Academic,Other,Other,AWS,2013,
339,paper_339,"Industrial Adoption of Model-Driven Engineering: Are the Tools Really the Problem?",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","UML diagrams","Source code",any,Yes,Standalone,"No validation","No application","Software engineering",Academic,Conference,MDE,MODELS,2013,
340,paper_340,"A taxonomy of tool-related issues affecting the adoption of model-driven engineering",2015,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","UML diagrams","Source code",any,Yes,Standalone,"No validation","No application","Software engineering",Academic,Journal,MDE,SOSYM,2015,
341,paper_341,"An aspect-oriented approach to declarative access control for web applications. ",2006,,,,,Admin,Predefined,"Visible template",Schema,XML-Schema,Unspecified,,"Structured data",XML,"Source code",AspectJ,No,Standalone,"No validation","Large scale","Web technology",Academic,Conference,Other,APWEB,2006,
342,paper_342,"An integrated crosscutting concern migration strategy and its semi-automated application to JHotDraw",2009,,,,,Admin,Predefined,"Not shown",Schema,,Unspecified,,"Structured data","Not specified","Source code",AspectJ,No,Standalone,"No validation","Large scale","Software engineering",Industry,Journal,SE,ASE,2009,
343,paper_343,"Code Generation for a Bi-dimensional Composition Mechanism",2011,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Activity diagram","Source code",AspectJ,Yes,Intermediate,"No validation","Large scale","Software engineering",Industry,Conference,SE,CEE-SET,2011,
344,paper_344,"An Approach for Security Patterns Application in Component Based Models",2014,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code",AspectJ,Yes,Last,"No validation","Large scale",Security,Academic,Conference,Other,ICCSA,2014,
345,paper_345,"A unifying approach to goal-directed evaluation",2002,,,,,Admin,Predefined,"Not shown","Programming Language",,Unspecified,,"Source code",,"Source code",C,No,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,Other,NGC,2002,
346,paper_346,"Program Synthesis from Formal Requirements Specifications Using APTS",2003,,,,,Admin,Rule-based,"Visible template",Schema,,Unspecified,,"Structured data","Software Cost Reduction specification","Source code",C,No,Standalone,"No validation","Large scale","Software engineering",Industry,Journal,Other,HOSE,2003,
347,paper_347,"A Code Generation Framework for Actor-Oriented Models with Partial Evaluation",2007,,,,,Admin,Output-based,"Visible template","Programming Language",,Unspecified,,"Source code","Actor-model program, java helper","Source code",C,No,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,ICESS,2007,
348,paper_348,"A Computational Framework for Cardiac Modeling Based on Distributed Computing and Web Applications",2007,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",Unspecified,,"Domain specific","Not specified","Source code",C,Yes,Standalone,"No validation","Large scale","Web technology",Academic,Conference,Other,VECPAR,2007,
349,paper_349,"Code generation from aadl to a real-time operating system: An experimentation feedback on the use of model transformation",2008,,,,,Admin,Output-based,"Visible template","General purpose",AADL,Unspecified,,"General purpose","AADL model","Source code",C,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,Other,ICECCS,2008,
350,paper_350,"Filet-o-Fish: Practical and dependable domain-specific languages for OS development",2009,,,,,Admin,Predefined,"Not shown","Domain specific",,Unspecified,,"Domain specific","FoF ","Source code",C,No,Standalone,"No validation","Small scale","Embedded systems",Industry,Journal,Other,PLOS,2009,
351,paper_351,"Embedded Software Development with Projectional Language Workbenches",2010,,,,,Admin,Rule-based,"Visible template","Domain specific","Not specified",Unspecified,,"Domain specific","Not specified","Source code",C,No,Standalone,"No validation","Large scale","Embedded systems",Academic,Conference,MDE,MODELS,2010,
352,paper_352," Model-based specification, analysis and synthesis of servo controllers for lithoscanners",2012,,,,,Admin,Output-based,"Not shown","Domain specific","Not specified",Unspecified,,"Domain specific","Not specified","Source code",C,Yes,Last,"No validation","Large scale","Embedded systems",Industry,Other,MDE,MPM,2012,
353,paper_353,"Communication software synthesis from UML-ESL models. ",2012,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code",C,Yes,Intermediate,"No validation","Small scale",Networking,Academic,Conference,Other,SBCCI,2012,
354,paper_354,"mbeddr: instantiating a language workbench in the embedded software domain",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","State diagram","Source code",C,Yes,Intermediate,"No validation","Large scale","Embedded systems",Academic,Journal,SE,ASE,2013,
355,paper_355,"Modern model-based development approach for embedded systems practical experience",2015,,,,,Admin,Predefined,"Not shown","General purpose",Marte,Unspecified,,"General purpose","Continuous Function Charts","Source code",C,No,Standalone,"No validation","Small scale","Embedded systems",Industry,Conference,SE,ISSE,2015,
356,paper_356,"Automatic Control Flow Generation from Software Architectures",2006,,,,,Admin,Predefined,"Not shown",Schema,"XML Schema",Unspecified,,"Structured data",XML,"Source code",C#,No,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,SE,SC,2006,
357,paper_357,"Combining IEC 61499 Model-Based Design with Component-Based Architecture for Robotics",2012,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Component diagram","Source code","C, C++",Yes,Standalone,"No validation","Large scale",Robotics,Academic,Conference,Other,SIMPAR,2012,
358,paper_358,"Templates for Event-B Code Generation",2014,,,,,Admin,Output-based,"Visible template",Schema,,Unspecified,,"Structured data",XML,"Source code","C, Java, ADA",No,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,Other,ABZ,2014,
359,paper_359,"Error Messaging in Generative Programming",2011,,,,,Admin,Output-based,"Visible template. More target language than metacode",Schema,,Unspecified,,"Structured data",Metascript,"Source code",C++,No,Standalone,"No validation","Large scale","Prog. Lang",Academic,Conference,Other,CECIIS,2011,
360,paper_360,"Automatic generation of runtime failure detectors from property templates",2009,,,,,Admin,Predefined,"Visible template",Schema,,Unspecified,,"Structured data",Rules,"Structured data","Code assertions",No,Last,"No validation","Small scale","Software engineering",Academic,Other,Other,,2009,
361,paper_361,"Template-Based Generation of Semantic Services",2014,,,,,Admin,Rule-based,"Visible template","Domain specific",,Unspecified,,"Domain specific",,"Structured data","Code structures",Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,SE,ICSR,2014,
362,paper_362,"Multi-agent system design and integration via agent development environment",2012,,,,,Admin,Predefined,"Not shown",Schema,,Unspecified,,"Structured data","Control data","Structured data","Control code",No,Intermediate,"No validation","Large scale","Software engineering",Industry,Journal,Other,EAAI,2012,
363,paper_363,"Loose Integration of COTS Tools for the Development of Real Time Distributed Control Systems",2005,,,,,Admin,Predefined,"Not shown",Schema,,Unspecified,,"Structured data",ADL,"Natural language","Documentation, code",No,Last,"No validation","Large scale","Software engineering",Academic,Conference,Other,ICCBSS,2005,
364,paper_364,"A Domain-Specific Language for Scripting Refactorings in Erlang",2012,,,,,Admin,Output-based,"Visible template","Programming Language",,Unspecified,,"Source code",Erlang,"Source code","Erlang code",No,Standalone,"No validation","Large scale",Refactoring,Academic,Conference,SE,FASE,2012,
365,paper_365,"The inverse ocean modeling system. Part I: Implementation",2008,,,,,Admin,Predefined,"Not shown","Programming Language",,Unspecified,,"Source code","Parametric Fortan","Source code",Fortran90,No,Standalone,"No validation","Small scale",Other,Academic,Journal,Other,JAOT,2008,
366,paper_366,"Generating Protocol Software from CPN Models Annotated with Pragmatics",2013,,,,,Admin,Output-based,"Visible template","General purpose","Not specified",Unspecified,,"General purpose","Coloured Petri nets","Source code",Groovy,Yes,Standalone,"No validation","Small scale",Networking,Academic,Conference,Other,SBMF,2013,
367,paper_367,"Rapid Development of Modular Dynamic Web Sites Using UML",2002,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Activity diagram","Structured data",HTML,Yes,Standalone,"No validation","Small scale","Web technology",Academic,Conference,MDE,MODELS,2002,
368,paper_368,"An MDA Approach for Generating Web Interfaces with UML ConcurTaskTrees and Canonical Abstract Prototypes",2007,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","UML diagrams","Structured data",HTML,Yes,Intermediate,"No validation","Large scale","Web technology",Academic,Other,Other,TAMODIA,2007,
369,paper_369,"Python implementation of source code generator based on dynamic frames",2011,,,,,Admin,Output-based,"Visible template","Programming Language",,Unspecified,,"Source code",Python,"Structured data",HTML,No,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,MIPRO,2011,
370,paper_370,"A classification and rationalization of model-based software development",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","UML diagrams","Structured data",HTML,Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Journal,MDE,SOSYM,2013,
371,paper_371,"WebDSL: A Case Study in Domain-Specific Language Engineering",2008,,,,,Admin,Output-based,"Not shown","Domain specific",WebDSL,Unspecified,,"Domain specific","WebDSL model","Structured data","HTML, XML",Yes,Standalone,"No validation","Small scale","Software engineering",Academic,Conference,SE,GTTSE,2008,
372,paper_372,"Generation and Enactment of Controllers for Business Architectures Using MDA",2004,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","State diagram","Source code",Java,Yes,Standalone,"No validation","No application","Software engineering",Industry,Other,MDE,SETRA,2004,
373,paper_373,"A Template Language for Agent Construction",2006,,,,,Admin,Rule-based,"Visible template",Schema,"Database schema",Unspecified,,"Structured data",XML,"Source code",Java,No,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,ICCSA,2006,
374,paper_374,"IR-Case tool [information retrieval].",2007,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code",Java,Yes,Intermediate,"No validation","Large scale",Other,Industry,Conference,Other,IASTED,2007,
375,paper_375,"Executable visual software modelingâ€”the ZOOM approach",2007,,,,,Admin,Predefined,"Not shown","Domain specific","Zoom ",Unspecified,,"Domain specific","Zoom model","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,SE,SQJ,2007,
376,paper_376,"Implementing associations: UML 2.0 to Java 5",2007,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","UML diagrams","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2007,
377,paper_377,"Semantically Configurable Code Generation",2008,,,,,Admin,Output-based,"Not shown","Programming Language",,Unspecified,,"Source code",,"Source code",Java,No,Last,"No validation","Large scale","Software engineering",Academic,Conference,MDE,MODELS,2008,
378,paper_378,"Combining Ontology Alignment with Model Driven Engineering Techniques for Home Devices Interoperability",2010,,,,,Admin,Output-based,"Not shown","Domain specific",,Unspecified,,"Domain specific","WDSL model","Source code",Java,Yes,Intermediate,"No validation","Small scale","Software engineering",Industry,Conference,SE,SEUS,2010,
379,paper_379,"Implementation Model of Source Code Generator",2011,,,,,Admin,Output-based,,Schema,XML-Schema,Unspecified,,"Structured data","XML + some code","Source code",Java,No,Standalone,"No validation","Small scale","Web technology",Academic,Journal,SE,JCSS,2011,
380,paper_380,"BOB the Builder: A Fast and Friendly Model-to-PetriNet Transformer",2012,,,,,Admin,Predefined,"Not shown","Domain specific","BEAM ",Unspecified,,"Domain specific","BEAM model","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,MDE,ECMFA,2012,
381,paper_381,"On the Development and Formalization of an Extensible Code Generator for Real Life Security Protocols",2012,,,,,Admin,Output-based,"Not shown","Domain specific",,Unspecified,,"Domain specific","Expi model","Source code",Java,No,Standalone,"No validation","Small scale",Security,Academic,Conference,Other,NFM,2012,
382,paper_382,"From model-driven software development processes to problem diagnoses at runtime",2014,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,MODELS,2014,
383,paper_383,"DropsBox: the Dresden Open Software Toolbox",2014,,,,,Admin,Output-based,"Not shown","Domain specific",,Unspecified,,"Domain specific",,"Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Journal,MDE,SOSYM,2014,
384,paper_384,"Integration of Handwritten and Generated Object-Oriented Code",2015,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code",Java,Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,MDE,MODELS,2015,
385,paper_385,"Model Driven Software Development",2013,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Activity diagram","Source code","Java, C#",Yes,Standalone,"No validation","No application","Software engineering",Industry,Conference,MDE,ECMFA,2013,
386,paper_386,"Combining Formal Methods and Aspects for Specifying and Enforcing Architectural Invariants",2007,,,,,Admin,Predefined,"Visible template",Schema,,Unspecified,,"Structured data",XML,"Source code","Java, C, C++",No,Standalone,"No validation","Large scale",Aspect-oriented,Academic,Conference,Other,COORDINATION,2007,
387,paper_387,"Model-driven prototyping based requirements elicitation. ",2008,,,,,Admin,Predefined,"Visible template","General purpose","UML ",Unspecified,,"General purpose","UML diagrams","Source code","Java, C, C++",Yes,Last,"No validation","Small scale","Software engineering",Academic,Other,Other,MW,2008,
388,paper_388,"Property-driven benchmark generation: synthesizing programs of realistic structure",2014,,,,,Admin,Predefined,"Not shown",Schema,,Unspecified,,"Structured data",,"Source code","Java, C, C++",No,Standalone,"No validation","Small scale","Software engineering",Academic,Journal,SE,STTT,2014,
389,paper_389,"Customizing IDL Mappings and ORB Protocols",2000,,,,,Admin,Output-based,"Visible template","General purpose",IDL,Unspecified,,"General purpose","IDL model","Source code","Java, C++, TCL",No,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,Other,DSPODP,2000,
390,paper_390,"Development of a UIML Renderer for Different Target Languages: Experiences and Design Decisions",2002,,,,,Admin,Output-based,"Visible template","Domain specific",UIML,Unspecified,,"Domain specific","UIML diagram","Structured data","Java, HTML",Yes,Last,"No validation","Small scale","Software engineering",Academic,Conference,Other,CADUI,2002,
391,paper_391,"Pattern-based AI scripting using scriptEase",2003,,,,,Admin,Predefined,"Not shown","Domain specific","Not specified",Unspecified,,"Domain specific","Not specified","Source code","NeverWinter Nights scripting code",No,Standalone,"No validation","Large scale",AI,Academic,Conference,Other,AI,2003,
392,paper_392,"Localized model transformations for building large-scale transformations",2015,,,,,Admin,Output-based,"Not shown","General purpose","UML ",Unspecified,,"General purpose","Class diagram","Source code","OpenMP, SystemC, VHDL",Yes,Standalone,"No validation","Large scale","Embedded systems",Academic,Journal,MDE,SOSYM,2015,
393,paper_393,"Clean Translation of an Imperative Reversible Programming Language",2011,,,,,Admin,Rule-based,"Visible template","Programming Language",,Unspecified,,"Source code",Janus,"Source code",Pisa,No,Last,"No validation","Small scale","Software engineering",Academic,Conference,Other,CC,2011,
394,paper_394,"A service-oriented modeling and simulation framework for rapid development of distributed applications",2006,,,,,Admin,Predefined,"Not visible to user","Programming Language",,Unspecified,,"Source code","ACDATE language","Source code","Simulation code",No,Intermediate,"No validation","Large scale","Software engineering",Industry,Journal,Other,SMPT,2006,
395,paper_395,"A framework for the efficient production of web applications",2003,,,,,Admin,Predefined,"Not visible to user",Schema,"Database schema",Unspecified,,"Structured data",XML,"Source code",SQL,No,Last,"No validation","Large scale","Web technology",Industry,Conference,Other,ISCC,2003,
396,paper_396,"Declarative specification of template-based textual editors",2012,,,,,Admin,Predefined,"Not shown","Domain specific",,Unspecified,,"Domain specific",,"Structured data","Structure editor",Yes,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,LDTA,2012,
397,paper_397,"Source templates for the automatic generation of adjoint code through static call graph reversal",2005,,,,,Admin,Predefined,"Code template already provided. Visible template",Schema,,Unspecified,,"Structured data","Pre and Post state chagnes","Source code","Subroutine code",No,Standalone,"No validation","Large scale","Software engineering",Academic,Conference,Other,ICCS,2005,
398,paper_398,"CSP transactors for asynchronous transaction level modeling and IP reuse",2007,,,,,Admin,Output-based,"Not shown","Programming Language",,Unspecified,,"Source code",,"Source code",SystemC,No,Last,"No validation","Small scale","Embedded systems",Academic,Conference,Other,ICCSA,2007,
399,paper_399,"UML-Based Statistical Test Case Generation",2003,,,,,Admin,Predefined,"Not shown","General purpose","UML ",Unspecified,,"General purpose","State diagram","Structured data","Test cases",Yes,Standalone,"No validation","No application",Testing,Academic,Conference,Other,NODE,2003,
400,paper_400,"From testing to anti-product development",2008,,,,,Admin,Predefined,"Not shown","Domain specific","Not specified",Unspecified,,"Domain specific","Not specified","Structured data","Test cases",Yes,Standalone,"No validation","Large scale",Testing,Academic,Journal,Other,IJTTT,2008,
401,paper_401,"Building an Interpreter with Vmgen",2002,,,,,Admin,Predefined,"Not shown","Programming Language",,Unspecified,,"Source code",,"Source code","VM code",No,Last,"No validation","No application",Compiler,Academic,Conference,Other,CC,2002,
402,paper_402,"Automated AI planning and code pattern based code synthesis",2006,,,,,Admin,Predefined,"Visible template",Schema,,Unspecified,,"Structured data",,"Source code",,No,Last,"No validation","Small scale",AI,Academic,Conference,Other,ICTAI,2006,
403,paper_403,"LLVM-Based Code Generation for B",2015,,,,,Admin,Output-based,"Visible template",Schema,XML-Schema,Unspecified,,"Structured data",XML,"Source code",,No,Standalone,"No validation","Large scale","Software engineering",Industry,Conference,MDE,ECMFA,2015,
